feature,point_biserial_corr,p_value
duration_sec,0.24749053028027265,4.1593918350926605e-43
run_attempt,0.14128680170295096,7.580627280392867e-15
commit_message_len,0.026154980374573235,0.15208222838080365
deletions,0.012880665085680055,0.4806619375471682
total_changes,0.011356779471837256,0.5340751956143491
additions,0.010269919440531055,0.5739204542189678
files_changed,6.235490927619051e-05,0.9972761106045926
